iter	RMSE
0	11.06844364
1	10.65449693
2	10.25264929
3	9.891051202
4	9.553535588
5	9.266968729
6	8.95917824
7	8.657711171
8	8.381507052
9	8.111207083
10	7.851648891
11	7.640594581
12	7.419010849
13	7.203141078
14	7.010919072
15	6.818019875
16	6.648063012
17	6.494098842
18	6.349817712
19	6.204586727
20	6.06841881
21	5.941924297
22	5.811479998
23	5.69640733
24	5.585882892
25	5.483260595
26	5.388494954
27	5.290782447
28	5.2106525
29	5.130818548
30	5.040013024
31	4.964474275
32	4.890901371
33	4.829655214
34	4.761253743
35	4.699627612
36	4.643385796
37	4.590886025
38	4.534837617
39	4.485426418
40	4.427682364
41	4.380257456
42	4.337374325
43	4.300582706
44	4.260933935
45	4.223496963
46	4.195067892
47	4.149727002
48	4.109856191
49	4.080707349
50	4.048695914
51	4.019544476
52	3.986331533
53	3.959202932
54	3.935289105
55	3.91364285
56	3.888886447
57	3.866734801
58	3.83472132
59	3.815196366
60	3.79454376
61	3.768662911
62	3.753385237
63	3.732004691
64	3.715598513
65	3.702497341
66	3.68427919
67	3.665958132
68	3.652734558
69	3.6407907
70	3.625009393
71	3.614040315
72	3.597515687
73	3.58324631
74	3.574068078
75	3.557125329
76	3.547755804
77	3.537360882
78	3.513157283
79	3.502029981
80	3.493899287
81	3.47798181
82	3.468546746
83	3.451278807
84	3.442419444
85	3.4313316
86	3.414582571
87	3.403248375
88	3.395056903
89	3.386362261
90	3.380293052
91	3.366786277
92	3.361238713
93	3.35299996
94	3.345321617
95	3.328500765
96	3.314670846
97	3.308394642
98	3.294867511
99	3.284447514
100	3.276700316
101	3.261687088
102	3.252448985
103	3.24321719
104	3.239762032
105	3.233499405
106	3.226766205
107	3.217640396
108	3.205347507
109	3.201146162
110	3.196532037
111	3.185149542
112	3.180556891
113	3.169755199
114	3.164617789
115	3.159744491
116	3.152729191
117	3.145838893
118	3.136448594
119	3.130257291
120	3.125299293
121	3.113845867
122	3.108583168
123	3.09839284
124	3.093437277
125	3.082251596
126	3.076245406
127	3.067187139
128	3.06285088
129	3.057842956
130	3.054264601
131	3.044076339
132	3.037975921
133	3.026695144
134	3.017987769
135	3.010852501
136	3.003216097
137	2.991840096
138	2.986347723
139	2.980549235
140	2.973080914
141	2.969474251
142	2.961750295
143	2.957795032
144	2.950344151
145	2.943587885
146	2.933490458
147	2.932395144
148	2.929419054
149	2.924340693
150	2.913615826
151	2.907553416
152	2.903921102
153	2.897027604
154	2.891832358
155	2.884352729
156	2.87582568
157	2.867734084
158	2.86341775
159	2.858809535
160	2.851602106
161	2.849057847
162	2.845312487
163	2.842540815
164	2.837756085
165	2.82764161
166	2.82499602
167	2.819866276
168	2.815604886
169	2.809249446
170	2.798257466
171	2.793187052
172	2.788387582
173	2.783453354
174	2.775822732
175	2.773860642
176	2.769622051
177	2.760896042
178	2.756274276
179	2.752396055
180	2.744509929
181	2.739995224
182	2.736993177
183	2.735370693
184	2.73193816
185	2.724597399
186	2.721103228
187	2.716961616
188	2.710932144
189	2.702393544
190	2.693421002
191	2.687335327
192	2.684279548
193	2.682274438
194	2.677192585
195	2.672330572
196	2.667821553
197	2.662737346
198	2.658457697
199	2.65516825
200	2.645547128
201	2.641607202
202	2.637326075
203	2.630133334
204	2.625730102
205	2.618946974
206	2.611389572
207	2.610017225
208	2.605950317
209	2.60263659
210	2.59753421
211	2.592472257
212	2.588579855
213	2.584585994
214	2.581698392
215	2.578456669
216	2.57107098
217	2.568620628
218	2.567143293
219	2.563616654
220	2.557291685
221	2.550853409
222	2.549690782
223	2.547225362
224	2.542286309
225	2.5410101
226	2.538277912
227	2.529984108
228	2.526463385
229	2.517293844
230	2.511101966
231	2.504742336
232	2.50069689
233	2.497853398
234	2.494848076
235	2.49153729
236	2.482881624
237	2.475873235
238	2.470689783
239	2.46785543
240	2.462678534
241	2.45901221
242	2.452111678
243	2.447697386
244	2.445031959
245	2.440164454
246	2.437389364
247	2.433863056
248	2.431291416
249	2.427766339
250	2.4226649
251	2.419000448
252	2.41555398
253	2.411243695
254	2.407689181
255	2.40538539
256	2.402074161
257	2.398836843
258	2.396012616
259	2.393854396
260	2.391423579
261	2.388417066
262	2.386046116
263	2.383933935
264	2.378692945
265	2.374896393
266	2.372620202
267	2.369594052
268	2.363767416
269	2.361624132
270	2.358390843
271	2.356536865
272	2.353599769
273	2.351356588
274	2.350564023
275	2.34767352
276	2.345747825
277	2.345024478
278	2.343221148
279	2.341411749
280	2.339323804
281	2.33795785
282	2.334992949
283	2.332713164
284	2.330799349
285	2.32903218
286	2.324925478
