iter	Passed	Remaining
0	143	143078
1	146	73061
2	150	49974
3	153	38240
4	156	31106
5	159	26431
6	162	23099
7	165	20491
8	168	18514
9	171	16938
10	173	15623
11	177	14593
12	179	13638
13	182	12840
14	185	12157
15	187	11526
16	190	11023
17	192	10527
18	196	10154
19	199	9758
20	202	9456
21	205	9118
22	208	8838
23	210	8567
24	213	8320
25	216	8100
26	219	7897
27	221	7691
28	223	7489
29	225	7299
30	228	7136
31	231	6991
32	233	6845
33	236	6716
34	238	6574
35	241	6457
36	244	6363
37	247	6254
38	249	6143
39	251	6036
40	254	5946
41	256	5851
42	259	5768
43	261	5688
44	264	5613
45	268	5563
46	271	5497
47	273	5429
48	276	5358
49	279	5306
50	282	5252
51	284	5194
52	286	5127
53	289	5070
54	291	5016
55	294	4959
56	296	4910
57	300	4875
58	302	4829
59	305	4780
60	307	4733
61	309	4688
62	312	4642
63	314	4606
64	317	4567
65	319	4524
66	322	4485
67	324	4447
68	327	4413
69	330	4385
70	332	4354
71	335	4327
72	337	4291
73	340	4266
74	343	4235
75	345	4204
76	348	4175
77	350	4148
78	352	4114
79	355	4087
80	357	4055
81	360	4032
82	362	4009
83	365	3987
84	368	3961
85	370	3939
86	373	3917
87	379	3934
88	383	3925
89	386	3908
90	389	3892
91	392	3870
92	396	3865
93	399	3854
94	402	3832
95	404	3812
96	407	3792
97	410	3780
98	414	3775
99	417	3753
100	419	3735
101	424	3738
102	428	3734
103	431	3718
104	434	3702
105	438	3695
106	441	3682
107	443	3664
108	446	3649
109	448	3627
110	452	3624
111	455	3613
112	458	3595
113	460	3577
114	462	3560
115	466	3553
116	468	3537
117	471	3522
118	473	3508
119	476	3491
120	478	3475
121	480	3461
122	483	3445
123	485	3430
124	488	3417
125	490	3402
126	493	3389
127	495	3377
128	498	3367
129	501	3358
130	504	3343
131	506	3331
132	508	3317
133	511	3308
134	514	3296
135	517	3288
136	521	3287
137	526	3286
138	528	3275
139	531	3263
140	534	3258
141	538	3255
142	541	3245
143	544	3238
144	546	3224
145	548	3211
146	552	3207
147	555	3199
148	558	3188
149	560	3176
150	563	3166
151	566	3160
152	569	3151
153	571	3141
154	574	3131
155	576	3118
156	580	3116
157	582	3105
158	585	3094
159	587	3083
160	589	3069
161	591	3057
162	594	3052
163	596	3040
164	599	3032
165	607	3050
166	611	3050
167	614	3041
168	616	3031
169	618	3020
170	620	3010
171	625	3011
172	628	3005
173	630	2995
174	633	2987
175	637	2982
176	639	2972
177	641	2961
178	643	2950
179	645	2940
180	648	2936
181	651	2928
182	653	2917
183	655	2908
184	657	2896
185	659	2885
186	661	2874
187	664	2869
188	666	2860
189	669	2852
190	671	2843
191	674	2837
192	679	2839
193	681	2831
194	683	2822
195	685	2813
196	687	2803
197	689	2793
198	692	2789
199	694	2779
200	697	2771
201	699	2762
202	701	2752
203	702	2742
204	718	2785
205	720	2776
206	723	2771
207	725	2762
208	728	2755
209	730	2747
210	732	2738
211	734	2730
212	737	2725
213	739	2716
214	741	2708
215	744	2700
216	745	2691
217	747	2682
218	751	2678
219	753	2670
220	755	2664
221	757	2655
222	759	2647
223	761	2638
224	764	2633
225	766	2626
226	769	2619
227	771	2611
228	773	2602
229	775	2595
230	777	2589
231	781	2586
232	783	2578
233	785	2572
234	787	2564
235	789	2555
236	793	2553
237	795	2546
238	797	2539
239	800	2533
240	801	2525
241	803	2517
242	806	2512
243	809	2507
244	811	2499
245	813	2493
246	818	2495
247	822	2493
248	830	2503
249	834	2504
250	839	2505
251	844	2506
252	847	2502
253	850	2498
254	855	2499
255	859	2496
256	861	2490
257	864	2486
258	869	2486
259	871	2481
260	874	2476
261	877	2471
262	879	2464
263	883	2462
264	886	2458
265	888	2452
266	891	2447
267	893	2440
268	898	2440
269	900	2434
270	903	2429
271	905	2422
272	908	2418
273	911	2416
274	914	2409
275	917	2405
276	919	2398
277	921	2393
278	925	2391
279	927	2386
280	930	2380
281	932	2374
282	934	2368
283	938	2365
284	940	2359
285	942	2353
286	945	2348
287	947	2341
288	949	2334
289	952	2331
290	954	2326
291	957	2320
292	959	2314
293	961	2308
294	964	2304
295	967	2301
296	969	2295
297	972	2291
298	974	2285
299	977	2279
300	980	2277
301	982	2271
302	985	2267
303	987	2261
304	989	2254
305	991	2249
306	994	2245
307	997	2240
308	999	2235
309	1001	2229
310	1003	2223
311	1006	2218
312	1009	2214
313	1011	2209
314	1013	2203
315	1015	2198
316	1017	2193
317	1021	2190
318	1024	2187
319	1026	2180
320	1028	2175
321	1030	2170
322	1032	2164
323	1036	2163
324	1039	2158
325	1041	2152
326	1043	2147
327	1045	2142
328	1047	2137
329	1051	2134
330	1053	2128
331	1055	2124
332	1057	2118
333	1059	2112
334	1062	2109
335	1065	2106
336	1068	2101
337	1070	2096
338	1072	2091
339	1074	2085
340	1078	2083
341	1081	2079
342	1082	2074
343	1086	2071
344	1087	2065
345	1090	2060
346	1093	2057
347	1095	2052
348	1097	2047
349	1099	2041
350	1101	2036
351	1103	2030
352	1106	2028
353	1109	2024
354	1111	2019
355	1113	2014
356	1115	2009
357	1117	2004
358	1121	2002
359	1123	1997
360	1125	1992
361	1128	1988
362	1129	1982
363	1131	1977
364	1135	1975
365	1137	1970
366	1140	1966
367	1142	1961
368	1144	1956
369	1146	1951
370	1150	1950
371	1152	1945
372	1155	1941
373	1161	1943
374	1164	1941
375	1168	1938
376	1171	1935
377	1176	1936
378	1179	1933
379	1182	1930
380	1185	1926
381	1190	1925
382	1192	1921
383	1195	1918
384	1197	1913
385	1200	1908
386	1203	1907
387	1206	1902
388	1208	1898
389	1210	1893
390	1212	1888
391	1215	1885
392	1218	1882
393	1220	1877
394	1223	1873
395	1225	1869
396	1228	1865
397	1231	1862
398	1233	1858
399	1236	1855
400	1239	1850
401	1241	1846
402	1245	1844
403	1248	1841
404	1250	1837
405	1252	1832
406	1254	1828
407	1257	1823
408	1260	1821
409	1262	1817
410	1265	1813
411	1267	1808
412	1269	1804
413	1273	1802
414	1275	1798
415	1278	1795
416	1280	1790
417	1282	1785
418	1284	1781
419	1287	1778
420	1290	1775
421	1293	1771
422	1294	1766
423	1296	1761
424	1298	1757
425	1302	1754
426	1304	1751
427	1307	1747
428	1309	1742
429	1311	1738
430	1313	1734
431	1317	1732
432	1320	1728
433	1322	1725
434	1325	1721
435	1327	1717
436	1332	1716
437	1335	1713
438	1338	1709
439	1340	1705
440	1342	1701
441	1347	1700
442	1349	1696
443	1351	1692
444	1354	1689
445	1356	1684
446	1361	1684
447	1363	1680
448	1366	1676
449	1368	1672
450	1370	1668
451	1374	1666
452	1377	1662
453	1379	1659
454	1381	1655
455	1383	1651
456	1386	1647
457	1390	1645
458	1392	1641
459	1394	1637
460	1397	1633
461	1399	1629
462	1404	1628
463	1406	1624
464	1409	1621
465	1411	1617
466	1413	1613
467	1418	1612
468	1420	1608
469	1422	1604
470	1424	1600
471	1426	1595
472	1428	1591
473	1432	1589
474	1434	1585
475	1437	1581
476	1439	1577
477	1441	1573
478	1442	1569
479	1446	1567
480	1448	1563
481	1451	1559
482	1453	1555
483	1455	1551
484	1457	1547
485	1461	1546
486	1463	1542
487	1466	1538
488	1468	1534
489	1469	1529
490	1472	1526
491	1475	1523
492	1478	1520
493	1480	1516
494	1482	1512
495	1484	1508
496	1486	1504
497	1490	1502
498	1492	1498
499	1495	1495
500	1497	1491
501	1498	1486
502	1500	1482
503	1505	1481
504	1507	1477
505	1509	1474
506	1511	1470
507	1513	1466
508	1515	1462
509	1519	1459
510	1521	1455
511	1523	1452
512	1525	1448
513	1527	1444
514	1529	1440
515	1533	1437
516	1535	1434
517	1537	1430
518	1539	1426
519	1541	1423
520	1543	1419
521	1547	1416
522	1549	1413
523	1551	1409
524	1554	1406
525	1556	1402
