2024-01-04 19:30:35,036 WARNING   * Debugger is active!
2024-01-04 19:30:35,036 INFO      * Debugger PIN: 676-444-496
2024-01-04 19:30:50,909 INFO     127.0.0.1 - - [04/Jan/2024 19:30:50] "GET / HTTP/1.1" 200 -
2024-01-04 19:30:50,922 INFO     127.0.0.1 - - [04/Jan/2024 19:30:50] "GET /prediction HTTP/1.1" 200 -
2024-01-04 19:30:51,969 INFO     127.0.0.1 - - [04/Jan/2024 19:30:51] "[35m[1mPOST /prediction HTTP/1.1[0m" 500 -
2024-01-04 19:30:54,193 INFO     127.0.0.1 - - [04/Jan/2024 19:30:54] "GET /prediction HTTP/1.1" 200 -
2024-01-04 19:31:13,996 INFO     127.0.0.1 - - [04/Jan/2024 19:31:13] "[35m[1mPOST /prediction HTTP/1.1[0m" 500 -
2024-01-04 19:31:14,035 INFO     127.0.0.1 - - [04/Jan/2024 19:31:14] "[36mGET /prediction?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1[0m" 304 -
2024-01-04 19:31:14,046 INFO     127.0.0.1 - - [04/Jan/2024 19:31:14] "[36mGET /prediction?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1[0m" 304 -
2024-01-04 19:31:14,116 INFO     127.0.0.1 - - [04/Jan/2024 19:31:14] "[36mGET /prediction?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
2024-01-04 19:31:14,345 INFO     127.0.0.1 - - [04/Jan/2024 19:31:14] "[36mGET /prediction?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
2024-01-04 19:33:17,990 INFO      * Detected change in 'D:\\used car ml project\\src\\pipeline\\predict_pipeline.py', reloading
