Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine(cc),Power(bhp),Seats,Price,Brand,Model,Region
2010,72000,CNG,Manual,First,37.24,998,58.16,5.0,1.75,Maruti,WagonR,West
2015,41000,Diesel,Manual,First,19.67,1582,126.2,5.0,12.5,Hyundai,Creta,West
2011,46000,Petrol,Manual,First,18.2,1199,88.7,5.0,4.5,Honda,Jazz,South
2012,87000,Diesel,Manual,First,20.77,1248,88.76,7.0,6.0,Maruti,Ertiga,South
2013,40670,Diesel,Automatic,Second,15.2,1968,140.8,5.0,17.74,Audi,A4,South
2012,75000,LPG,Manual,First,29.54,814,55.2,5.0,2.35,Hyundai,EON,South
2013,86999,Diesel,Manual,First,23.08,1461,63.1,5.0,3.5,Nissan,Micra,North
2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8.0,17.5,Toyota,Innova,West
2013,64430,Diesel,Manual,First,20.54,1598,103.6,5.0,5.2,Volkswagen,Vento,West
2012,65932,Diesel,Manual,Second,22.3,1248,74.0,5.0,1.95,Tata,Indica,South
2018,25692,Petrol,Manual,First,21.56,1462,103.25,5.0,9.95,Maruti,Ciaz,South
2012,60000,Petrol,Automatic,First,16.8,1497,116.3,5.0,4.49,Honda,City,East
2015,64424,Diesel,Manual,First,25.2,1248,74.0,5.0,5.6,Maruti,Swift,North
2014,72000,Diesel,Automatic,First,12.7,2179,187.7,5.0,27.0,Land,Rover,North
2012,85000,Diesel,Automatic,Second,0.0,2179,115.0,5.0,17.5,Land,Rover,West
2014,110000,Diesel,Manual,First,13.5,2477,175.56,7.0,15.0,Mitsubishi,Pajero,North
2016,58950,Diesel,Manual,First,25.8,1498,98.6,5.0,5.4,Honda,Amaze,South
2017,25000,Diesel,Manual,First,28.4,1248,74.0,5.0,5.99,Maruti,Swift,North
2014,77469,Diesel,Manual,First,20.45,1461,83.8,5.0,6.34,Renault,Duster,South
2014,78500,Diesel,Automatic,First,14.84,2143,167.62,5.0,28.0,Mercedes-Benz,New,South
2014,32982,Diesel,Automatic,First,22.69,1995,190.0,5.0,18.55,BMW,3,South
2015,55392,Diesel,Manual,Second,23.65,1248,88.5,5.0,8.25,Maruti,S,South
2015,55985,Petrol,Automatic,First,13.53,1984,177.01,5.0,23.5,Audi,A6,West
